density,seed,delta_requested,delta_actual,transmitted,err_m,r_err,feat0_next,next_obs_present
5.0,2001,0.1011859289427218,0.20000000000000284,1,0.0,0.0,0.0,1
5.0,2001,2.8708107497776547,2.9000000000000057,1,1.0308638809017339,0.01847805536722104,0.006007567513734102,1
5.0,2001,0.10418983427139203,0.19999999999998863,1,0.0,0.0,0.0,1
5.0,2001,0.1689708902914556,0.30000000000001137,1,0.003380450884151287,1.3487392560255584e-08,6.499234217471894e-08,1
5.0,2001,4.70840357017565,4.799999999999997,1,0.37938276426081075,0.00024127185218823403,0.0008179236901924014,1
5.0,2001,6.909555077363975,7.0,1,0.4489803043934444,0.002922485404219192,0.0011451698374003172,1
5.0,2001,5.325073089226742,5.3999999999999915,1,0.0,0.0,0.0,1
5.0,2001,0.22828632244365935,0.29999999999999716,1,0.02371401078426061,7.574950761635746e-07,3.1983176995709073e-06,1
5.0,2001,38.90785251460179,39.0,1,180.11875695744794,14.84008890513574,0.9946095943450928,1
5.0,2001,0.6148574267580961,0.7000000000000028,1,0.0,0.0,0.0,1
5.0,2001,0.363478656923076,0.3999999999999915,1,1.324271816071814,0.0038755391629110673,0.009875454008579254,1
5.0,2001,5.819720685530767,5.900000000000006,1,2.7166714028923025,0.05933990531613338,0.04028376191854477,1
5.0,2001,0.10808876448984646,0.20000000000000284,1,0.0,0.0,0.0,1
5.0,2001,39.34946741421521,26.0,0,0.0,23.126239851213583,nan,0
5.0,2001,20.706273903836568,20.799999999999997,1,33.12061105592102,2.096446106525823,0.8618578910827637,1
5.0,2001,8.481306274030603,8.5,1,1.173589010872547,0.01667876348101426,0.00777242099866271,1
5.0,2001,3.223646528810143,3.4000000000000057,1,0.26873142181693765,0.0003403002835552635,0.00041055516339838505,1
5.0,2001,0.7067874157273865,0.7999999999999972,1,0.0,0.0,0.0,1
5.0,2001,0.41898028751817384,0.5,1,0.02516878235110198,7.611979462812062e-07,3.6027638543600915e-06,1
5.0,2001,3.5272966269012342,3.5999999999999943,1,0.22113585600726537,0.0003679823619335792,0.00027804207638837397,1
5.0,2001,2.8539142067115844,2.8999999999999915,1,0.07953074379747704,3.1854531722283e-05,3.5972236219095066e-05,1
5.0,2001,2.6494417403861674,3.0,1,0.19641803561526672,0.00022333806648596735,0.00021937159181106836,1
5.0,2001,0.10216046063860418,0.20000000000000284,1,0.023997228816028837,4.904975117424018e-07,3.275169092376018e-06,1
5.0,2001,2.725945240542831,2.799999999999997,1,0.978868560904516,0.01798350730980915,0.005420026835054159,1
5.0,2001,1.9323860641743784,2.0,1,1.5910507963442342,0.004345122661165506,0.014192959293723106,1
5.0,2001,1.8971881486296684,1.8999999999999915,1,0.517673414111357,0.0008394404492386947,0.0015218198532238603,1
5.0,2001,1.2983308844437285,1.2999999999999972,1,0.03576253805181295,5.804965856990356e-06,7.273885330505436e-06,1
5.0,2001,0.23744398019902999,0.29999999999999716,1,0.003226044879852452,2.7815142846253412e-08,5.919073586824197e-08,1
5.0,2001,1.5214881993485951,1.5999999999999943,1,0.09271746567117134,2.9895486284194713e-05,4.8889414756558836e-05,1
5.0,2001,0.16245828707999324,0.19999999999998863,1,0.017425872813987553,2.51168039311983e-07,1.727035623844131e-06,1
5.0,2001,1.4069198431326542,1.6000000000000085,1,0.022756800308343372,1.4893345887424066e-06,2.945330834336346e-06,1
5.0,2001,6.718452426779044,6.799999999999997,1,0.05787584384825095,6.219983671960879e-05,1.9050192349823192e-05,1
5.0,2001,2.413892764576728,2.5,1,0.890610036727594,0.0032042197049473933,0.004490899853408337,1
5.0,2001,2.259838348096601,2.299999999999997,1,0.13772103019891802,0.00010051681705987151,0.00010786154598463327,1
5.0,2001,6.277064985521358,6.299999999999997,1,3.631728890072054,0.12983192432234286,0.0697791799902916,1
5.0,2001,21.420392844318485,21.5,1,192.2912361841332,16.957494712452707,0.9952673316001892,1
5.0,2001,0.14954935259081684,0.20000000000000284,1,0.017296829012138915,2.731904899536096e-07,1.7015519233609666e-06,1
5.0,2001,3.7586738431925,3.799999999999997,1,0.31899508099093055,0.00024117913200146933,0.000578401843085885,1
5.0,2001,0.24822124532649012,0.29999999999999716,1,0.016159374383505565,2.154481932927781e-07,1.4851194691800629e-06,1
5.0,2001,0.11991800298852597,0.20000000000000284,1,0.00166059118373596,1.6177540006748563e-08,1.5683333742799732e-08,1
5.0,2001,3.0983170607864565,3.1000000000000085,1,2.037277374458597,0.03176080930296221,0.023061133921146393,1
5.0,2001,1.5297308133734338,1.6000000000000085,1,0.05022728338281013,7.114948109923915e-06,1.4347825526783708e-05,1
5.0,2001,3.6154268661326063,3.700000000000003,1,0.013140250304900292,6.112787503974233e-06,9.82018832473841e-07,1
5.0,2001,19.206687259940132,19.299999999999997,1,44.99602101582161,11.524372834682127,0.9200954437255859,1
5.0,2001,3.3628206189459515,3.3999999999999915,1,0.12091066622019753,8.390060023812969e-05,8.313924627145752e-05,1
5.0,2001,6.198767504106892,6.200000000000003,1,0.0,0.0,0.0,1
5.0,2001,4.26886242724807,4.299999999999997,1,0.04581479881017003,7.259556795945763e-06,1.1937663657590747e-05,1
