Time,REMO-DQN,Fixed 10Hz,ReactDCC,AdaptDCC,MoEDQN,MAPPO,PPO,SAC,DDPG,TD3,DuelingDQN,DoubleDQN,VanillaDQN,QLearning,SARSA,ActorCritic,DecisionTransformer
65,0.0621,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
66,0.0607,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
67,0.0698,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
68,0.0709,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
69,0.0576,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
70,0.0721,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
71,0.0598,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
72,0.0601,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
73,0.0703,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
74,0.0882,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
75,0.0606,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
76,0.081,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
77,0.074,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
78,0.0826,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
79,0.0629,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
80,0.0852,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
81,0.0599,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
82,0.0671,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
83,0.0604,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
84,0.0846,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
85,0.0615,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
86,0.0596,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
87,0.0823,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
88,0.081,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
89,0.0682,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
90,0.0681,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
91,0.068,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
92,0.0687,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
93,0.0866,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
94,0.082,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
95,0.0607,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
96,0.0568,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
97,0.0579,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
98,0.0602,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
99,0.0847,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
