Time,VehicleID,X,Y,Z,State
84.0,V4,3899.8,693.0,136.5,CRUISE
85.0,V1,3005.2,-270.2,151.2,CRUISE
85.0,V2,2958.9,-311.8,149.8,CRUISE
85.0,V3,2155.6,366.7,198.5,CRUISE
85.0,V4,3900.3,693.5,137.4,CRUISE
86.0,V1,3020.1,-256.8,150.8,CRUISE
86.0,V2,2955.2,-315.2,150.2,CRUISE
86.0,V3,2170.5,335.0,198.0,CRUISE
86.0,V4,3898.9,692.3,138.4,CRUISE
87.0,V1,3036.8,-241.8,150.4,CRUISE
87.0,V2,2953.3,-316.8,150.7,CRUISE
87.0,V3,2184.4,305.6,197.4,CRUISE
87.0,V4,3895.6,689.5,139.6,CRUISE
88.0,V1,3055.4,-225.1,150.0,CRUISE
88.0,V2,2953.3,-316.9,151.1,CRUISE
88.0,V3,2197.3,278.5,196.7,CRUISE
88.0,V4,3890.5,685.0,141.0,CRUISE
89.0,V1,3075.8,-206.8,149.7,CRUISE
89.0,V2,2955.1,-315.2,151.4,CRUISE
89.0,V3,2209.0,253.6,196.0,CRUISE
89.0,V4,3883.5,678.8,142.7,CRUISE
90.0,V1,3098.1,-186.8,149.4,CRUISE
90.0,V2,2958.8,-311.9,151.7,CRUISE
90.0,V3,2219.7,231.0,195.2,CRUISE
90.0,V4,3874.7,671.0,144.5,CRUISE
91.0,V1,3122.2,-165.1,149.2,CRUISE
91.0,V2,2964.4,-306.9,151.8,CRUISE
91.0,V3,2229.4,210.7,194.3,CRUISE
91.0,V4,3864.0,661.5,146.6,CRUISE
92.0,V1,3148.2,-141.7,149.2,CRUISE
92.0,V2,2971.8,-300.2,151.8,CRUISE
92.0,V3,2237.9,192.6,193.3,CRUISE
92.0,V4,3851.5,650.3,148.7,CRUISE
93.0,V1,3176.1,-116.7,149.3,CRUISE
93.0,V2,2981.1,-291.9,151.7,CRUISE
93.0,V3,2245.4,176.7,192.3,CRUISE
93.0,V4,3837.1,637.5,150.8,CRUISE
94.0,V1,3205.8,-90.0,149.5,CRUISE
94.0,V2,2992.2,-281.9,151.5,CRUISE
94.0,V3,2251.8,163.1,191.2,CRUISE
94.0,V4,3820.8,623.0,152.6,CRUISE
95.0,V1,3237.4,-61.6,149.8,CRUISE
95.0,V2,3005.2,-270.2,151.2,CRUISE
95.0,V3,2257.2,151.8,190.0,CRUISE
95.0,V4,3802.7,606.9,154.1,CRUISE
96.0,V1,3270.8,-31.5,150.1,CRUISE
96.0,V2,3020.1,-256.8,150.8,CRUISE
96.0,V3,2261.5,142.8,188.8,CRUISE
96.0,V4,3782.8,589.1,155.1,CRUISE
97.0,V1,3302.4,-3.2,150.2,CRUISE
97.0,V2,3036.8,-241.8,150.4,CRUISE
97.0,V3,2264.7,136.0,187.5,CRUISE
97.0,V4,3761.0,569.7,155.7,CRUISE
98.0,V1,3331.5,25.3,150.3,CRUISE
98.0,V2,3055.4,-225.1,150.0,CRUISE
98.0,V3,2266.8,131.4,186.1,CRUISE
98.0,V4,3737.4,548.6,155.9,CRUISE
99.0,V1,3358.1,53.4,150.3,CRUISE
99.0,V2,3075.8,-206.8,149.7,CRUISE
99.0,V3,2267.9,129.2,184.6,CRUISE
99.0,V4,3712.0,525.9,155.7,CRUISE
100.0,V1,3382.3,80.8,150.4,CRUISE
100.0,V2,3098.1,-186.8,149.4,CRUISE
100.0,V3,2267.9,129.1,183.1,CRUISE
100.0,V4,3684.7,501.6,155.0,CRUISE
101.0,V1,3404.1,107.5,150.4,CRUISE
101.0,V2,3122.2,-165.1,149.2,CRUISE
101.0,V3,2266.9,131.4,181.5,CRUISE
101.0,V4,3655.7,475.6,153.9,CRUISE
102.0,V1,3423.6,133.1,150.5,CRUISE
102.0,V2,3148.2,-141.7,149.2,CRUISE
102.0,V3,2264.7,135.9,179.8,CRUISE
102.0,V4,3628.4,451.1,152.2,CRUISE
103.0,V1,3441.0,157.5,150.5,CRUISE
103.0,V2,3176.1,-116.7,149.3,CRUISE
103.0,V3,2261.5,142.6,178.0,CRUISE
103.0,V4,3603.0,428.4,150.5,DESCENT
104.0,V1,3456.1,180.7,150.5,CRUISE
104.0,V2,3205.8,-90.0,149.5,CRUISE
104.0,V3,2257.3,151.6,176.2,CRUISE
104.0,V4,3579.5,407.3,148.8,CRUISE
105.0,V1,3469.2,202.6,150.5,CRUISE
105.0,V2,3237.4,-61.6,149.8,CRUISE
105.0,V3,2252.0,162.9,174.3,CRUISE
105.0,V4,3557.8,387.9,147.2,CRUISE
106.0,V1,3480.2,223.0,150.4,CRUISE
106.0,V2,3270.8,-31.5,150.1,CRUISE
106.0,V3,2245.6,176.4,172.3,CRUISE
106.0,V4,3538.0,370.2,145.8,CRUISE
107.0,V1,3489.2,241.9,150.4,CRUISE
107.0,V2,3302.4,-3.2,150.2,CRUISE
107.0,V3,2238.1,192.2,170.2,CRUISE
107.0,V4,3520.0,354.1,144.5,CRUISE
108.0,V1,3496.3,259.3,150.3,CRUISE
108.0,V2,3331.5,25.3,150.3,CRUISE
108.0,V3,2229.5,210.3,168.1,CRUISE
108.0,V4,3503.9,339.7,143.4,CRUISE
109.0,V1,3501.4,275.1,150.3,CRUISE
109.0,V2,3358.1,53.4,150.3,CRUISE
