model,trial,recorded_value,penalised_trial,mean_error,mean_aoi,coverage_outage_rate,packet_loss_rate,avg_power_norm,old_score,new_score,delta
SPAM-D3QN,0,27.866606,False,22.3181,9.9001,0.2621,0.2,0.3713,27.86661,27.74241,-0.1242
SPAM-D3QN,1,24.042589333333336,False,18.8291,9.291,0.2621,0.2364,0.2189,24.04258,23.99118,-0.0514
SPAM-D3QN,2,12.891486,False,9.5012,5.666,0.2621,0.1979,0.1657,12.89154,12.76314,-0.1284
SPAM-D3QN,3,23.251012666666668,False,18.2482,8.7897,0.2621,0.2041,0.419,23.25105,23.13505,-0.116
SPAM-D3QN,4,18.45543933333333,False,13.8505,7.9828,0.2621,0.1593,0.4469,18.45548,18.24988,-0.2056
SPAM-D3QN,5,18.693506,False,14.2343,7.7251,0.2621,0.1882,0.3624,18.69353,18.54573,-0.1478
SPAM-D3QN,6,18.89832266666667,False,14.3812,7.9307,0.2621,0.2472,0.1379,18.89833,18.86853,-0.0298
SPAM-D3QN,7,22.07095933333333,False,16.8502,9.2689,0.2621,0.1946,0.3104,22.07093,21.93593,-0.135
SPAM-D3QN,8,19.979616,False,15.5376,7.6722,0.2621,0.1819,0.4086,19.97962,19.81922,-0.1604
SPAM-D3QN,9,19.159766,False,14.3052,8.5367,0.2621,0.2207,0.3101,19.15977,19.07697,-0.0828
SPAM-D3QN,10,17.200359333333335,False,12.748,7.7073,0.2621,0.173,0.3729,17.20043,17.02223,-0.1782
SPAM-D3QN,11,23.625506,False,18.5387,8.9521,0.2621,0.1664,0.4328,23.62551,23.43411,-0.1914
SPAM-D3QN,12,28.729166,False,22.8933,10.5051,0.2621,0.2166,0.2956,28.72917,28.63817,-0.091
SPAM-D3QN,13,20.379542666666666,False,15.8624,7.8193,0.2621,0.1665,0.4167,20.37959,20.18839,-0.1912
SPAM-D3QN,14,18.213646,False,13.7417,7.7975,0.2621,0.2314,0.245,18.21365,18.15225,-0.0614
TD3,0,7.442226000000001,False,5.2523,3.2732,0.2621,0.1866,0.1457,7.44224,7.29124,-0.151
TD3,1,5.324465999999999,False,3.384,2.7369,0.2621,0.1642,0.2394,5.32453,5.12873,-0.1958
TD3,2,17.920622666666667,False,14.1151,6.4986,0.2621,0.158,0.1603,17.92066,17.71246,-0.2082
TD3,3,7.130562666666667,False,5.0436,3.0613,0.2621,0.1863,0.1605,7.13055,6.97895,-0.1516
TD3,4,19.17710933333333,False,15.2865,6.6158,0.2621,0.1557,0.2929,19.17718,18.96438,-0.2128
TD3,5,1.485052666666667,False,0.3231,1.0604,0.2621,0.0654,0.5377,1.48504,1.09164,-0.3934
TD3,6,20.96745266666667,False,16.5313,7.7342,0.2621,0.172,0.2243,20.96746,20.78726,-0.1802
TD3,7,23.676552666666662,False,18.6448,8.8911,0.2621,0.1553,0.3102,23.67659,23.46299,-0.2136
TD3,8,19.264026,False,15.2127,6.924,0.2621,0.1264,0.3257,19.26404,18.99264,-0.2714
TD3,9,11.245256,False,8.3369,4.6734,0.2621,0.1238,0.2373,11.24526,10.96866,-0.2766
TD3,10,2.410626,False,0.8982,1.7512,0.2621,0.0447,0.563,2.4106,1.9758,-0.4348
TD3,11,2.183946,False,0.8105,1.5503,0.2621,0.0875,0.3703,2.18391,1.83471,-0.3492
TD3,12,1.866186,False,0.587,1.3303,0.2621,0.0852,0.4493,1.86621,1.51241,-0.3538
TD3,13,2.373416,False,0.9756,1.5726,0.2621,0.0954,0.4364,2.37338,2.03998,-0.3334
TD3,14,1.1831326666666666,False,0.2109,0.7978,0.2621,0.143,0.2457,1.18314,0.94494,-0.2382
