method,n_vehicles,seed,runtime_sec,n_cam_events,CBR_mean,AoI_mean,PDR_mean,energy_efficiency,ETSI_compliance,timestamp
AdaptDCC,76,42,0.47,2005,0.0075,332.872,78.35,28.0278,100.0,1785735361.285575
AdaptDCC,82,42,0.47,2005,0.0075,332.872,75.33,28.0278,100.0,1785735361.2976894
AdaptDCC,74,42,0.49,2005,0.0075,332.872,77.41,28.0278,100.0,1785735361.302712
AdaptDCC,86,42,0.46,2005,0.0075,332.872,73.45,28.0278,100.0,1785735361.352362
AdaptDCC,80,42,0.53,2005,0.0075,332.872,75.95,28.0278,100.0,1785735361.3567102
AdaptDCC,88,42,0.48,2005,0.0075,332.872,72.24,28.0278,100.0,1785735361.393123
AdaptDCC,69,42,0.42,2005,0.0075,332.872,81.04,28.0278,100.0,1785735361.6264725
AdaptDCC,53,42,0.42,2005,0.0075,332.872,88.52,28.0278,100.0,1785735361.6345396
AdaptDCC,51,42,0.45,2005,0.0075,332.872,90.49,28.0278,100.0,1785735361.6484754
AdaptDCC,67,42,0.41,2005,0.0075,332.872,82.52,28.0278,100.0,1785735361.65748
AdaptDCC,71,42,0.44,2005,0.0075,332.872,79.81,28.0278,100.0,1785735361.6594112
AdaptDCC,65,42,0.4,2005,0.0075,332.872,83.85,28.0278,100.0,1785735361.675186
AdaptDCC,61,42,0.49,2005,0.0075,332.872,85.44,28.0278,100.0,1785735361.6777892
AdaptDCC,55,42,0.46,2005,0.0075,332.872,88.3,28.0278,100.0,1785735361.6836972
AdaptDCC,79,42,0.44,2005,0.0075,332.872,76.17,28.0278,100.0,1785735361.688349
AdaptDCC,59,42,0.45,2005,0.0075,332.872,86.03,28.0278,100.0,1785735361.6950474
AdaptDCC,63,42,0.5,2005,0.0075,332.872,83.99,28.0278,100.0,1785735361.738459
AdaptDCC,75,42,0.44,2005,0.0075,332.872,78.54,28.0278,100.0,1785735361.7438862
AdaptDCC,73,42,0.5,2005,0.0075,332.872,79.79,28.0278,100.0,1785735361.7450051
AdaptDCC,77,42,0.46,2005,0.0075,332.872,77.58,28.0278,100.0,1785735361.7450187
AdaptDCC,57,42,0.56,2005,0.0075,332.872,87.37,28.0278,100.0,1785735361.776826
AdaptDCC,81,42,0.43,2005,0.0075,332.872,75.44,28.0278,100.0,1785735361.7879837
AdaptDCC,83,42,0.49,2005,0.0075,332.872,74.73,28.0278,100.0,1785735361.7911248
AdaptDCC,87,42,0.44,2005,0.0075,332.872,72.55,28.0278,100.0,1785735361.7928624
AdaptDCC,89,42,0.41,2005,0.0075,332.872,71.94,28.0278,100.0,1785735361.8006065
AdaptDCC,85,42,0.55,2005,0.0075,332.872,72.74,28.0278,100.0,1785735361.8122184
AdaptDCC,92,42,0.3,2005,0.0075,332.872,69.97,28.0278,100.0,1785735361.938336
AdaptDCC,96,42,0.28,2005,0.0075,332.872,68.99,28.0278,100.0,1785735361.93907
AdaptDCC,90,42,0.32,2005,0.0075,332.872,71.9,28.0278,100.0,1785735361.9427466
AdaptDCC,98,42,0.28,2005,0.0075,332.872,67.16,28.0278,100.0,1785735361.9445512
AdaptDCC,94,42,0.3,2005,0.0075,332.872,69.25,28.0278,100.0,1785735361.9517798
AdaptDCC,100,42,0.27,2005,0.0075,332.872,67.17,28.0278,100.0,1785735361.9533224
AdaptDCC,99,42,0.24,2005,0.0075,332.872,66.87,28.0278,100.0,1785735362.1881416
AdaptDCC,93,42,0.25,2005,0.0075,332.872,70.61,28.0278,100.0,1785735362.1890142
AdaptDCC,97,42,0.25,2005,0.0075,332.872,67.24,28.0278,100.0,1785735362.1919413
AdaptDCC,91,42,0.25,2005,0.0075,332.872,70.73,28.0278,100.0,1785735362.19403
AdaptDCC,95,42,0.25,2005,0.0075,332.872,69.93,28.0278,100.0,1785735362.2009132
Heuristic,48,42,0.36,2005,0.0075,332.872,91.45,28.0278,100.0,1785735362.6181834
Heuristic,22,42,0.39,2005,0.0075,332.872,99.39,28.0278,100.0,1785735362.6469817
