Time,VehicleID,X,Y,Z,State
68.0,V3,9910.6,1133.3,200.0,CRUISE
68.0,V4,3484.3,18492.0,151.8,CRUISE
69.0,V1,11073.3,4980.3,150.0,CRUISE
69.0,V2,11322.8,4547.0,150.0,CRUISE
69.0,V3,9958.5,1147.5,200.0,CRUISE
69.0,V4,3490.2,18444.2,150.9,CRUISE
70.0,V1,11048.3,5023.7,150.0,CRUISE
70.0,V2,11297.8,4590.3,150.0,CRUISE
70.0,V3,10006.5,1161.6,200.0,CRUISE
70.0,V4,3494.3,18394.6,150.0,CRUISE
71.0,V1,11023.4,5067.0,150.0,CRUISE
71.0,V2,11272.9,4633.7,150.0,CRUISE
71.0,V3,10054.5,1175.7,200.0,CRUISE
71.0,V4,3498.2,18344.7,150.0,CRUISE
72.0,V1,10998.5,5110.3,150.0,CRUISE
72.0,V2,11247.9,4677.0,150.0,CRUISE
72.0,V3,10102.4,1189.8,200.0,CRUISE
72.0,V4,3502.0,18294.9,150.0,CRUISE
73.0,V1,10973.5,5153.7,150.0,CRUISE
73.0,V2,11223.0,4720.3,150.0,CRUISE
73.0,V3,10150.4,1203.9,200.0,CRUISE
73.0,V4,3508.3,18245.8,150.0,CRUISE
74.0,V1,10948.6,5197.0,150.0,CRUISE
74.0,V2,11198.0,4763.7,150.0,CRUISE
74.0,V3,10198.4,1218.0,200.0,CRUISE
74.0,V4,3516.9,18197.4,150.0,CRUISE
75.0,V1,10923.6,5240.3,150.0,CRUISE
75.0,V2,11173.1,4807.0,150.0,CRUISE
75.0,V3,10246.3,1232.1,200.0,CRUISE
75.0,V4,3527.9,18149.8,150.0,CRUISE
76.0,V1,10898.7,5283.7,150.0,CRUISE
76.0,V2,11148.1,4850.3,150.0,CRUISE
76.0,V3,10294.3,1246.2,200.0,CRUISE
76.0,V4,3541.3,18102.9,150.0,CRUISE
77.0,V1,10873.7,5327.0,150.0,CRUISE
77.0,V2,11123.2,4893.7,150.0,CRUISE
77.0,V3,10342.3,1260.3,200.0,CRUISE
77.0,V4,3557.1,18056.8,150.0,CRUISE
78.0,V1,10848.8,5370.3,150.0,CRUISE
78.0,V2,11098.2,4937.0,150.0,CRUISE
78.0,V3,10390.2,1274.4,200.0,CRUISE
78.0,V4,3575.2,18011.5,150.0,CRUISE
79.0,V1,10823.8,5413.7,150.0,CRUISE
79.0,V2,11073.3,4980.3,150.0,CRUISE
79.0,V3,10438.2,1288.5,200.0,CRUISE
79.0,V4,3595.8,17966.8,150.0,CRUISE
80.0,V1,10798.9,5457.0,150.0,CRUISE
80.0,V2,11048.3,5023.7,150.0,CRUISE
80.0,V3,10486.2,1302.6,200.0,CRUISE
80.0,V4,3618.7,17923.0,150.0,CRUISE
81.0,V1,10773.9,5500.3,150.0,CRUISE
81.0,V2,11023.4,5067.0,150.0,CRUISE
81.0,V3,10534.2,1316.7,200.0,CRUISE
81.0,V4,3644.0,17879.9,150.0,CRUISE
82.0,V1,10749.0,5543.7,150.0,CRUISE
82.0,V2,10998.5,5110.3,150.0,CRUISE
82.0,V3,10582.1,1330.8,200.0,CRUISE
82.0,V4,3669.4,17836.8,150.0,CRUISE
83.0,V1,10724.0,5587.0,150.0,CRUISE
83.0,V2,10973.5,5153.7,150.0,CRUISE
83.0,V3,10630.1,1345.0,200.0,CRUISE
83.0,V4,3694.8,17793.7,150.0,CRUISE
84.0,V1,10699.1,5630.3,150.0,CRUISE
84.0,V2,10948.6,5197.0,150.0,CRUISE
84.0,V3,10678.1,1359.1,200.0,CRUISE
84.0,V4,3720.2,17750.7,150.0,CRUISE
85.0,V1,10674.2,5673.7,150.0,CRUISE
85.0,V2,10923.6,5240.3,150.0,CRUISE
85.0,V3,10726.0,1373.2,200.0,CRUISE
85.0,V4,3745.6,17707.6,150.0,CRUISE
86.0,V1,10649.2,5717.0,150.0,CRUISE
86.0,V2,10898.7,5283.7,150.0,CRUISE
86.0,V3,10774.0,1387.3,200.0,CRUISE
86.0,V4,3771.0,17664.5,150.0,CRUISE
87.0,V1,10624.3,5760.3,150.0,CRUISE
87.0,V2,10873.7,5327.0,150.0,CRUISE
87.0,V3,10822.0,1401.4,200.0,CRUISE
87.0,V4,3796.3,17621.4,150.0,CRUISE
88.0,V1,10599.3,5803.6,150.0,CRUISE
88.0,V2,10848.8,5370.3,150.0,CRUISE
88.0,V3,10869.9,1415.5,200.0,CRUISE
88.0,V4,3821.7,17578.4,150.0,CRUISE
89.0,V1,10574.4,5847.0,150.0,CRUISE
89.0,V2,10823.8,5413.7,150.0,CRUISE
89.0,V3,10917.9,1429.6,200.0,CRUISE
89.0,V4,3847.1,17535.3,150.0,CRUISE
90.0,V1,10549.4,5890.3,150.0,CRUISE
90.0,V2,10798.9,5457.0,150.0,CRUISE
90.0,V3,10965.9,1443.7,200.0,CRUISE
90.0,V4,3872.5,17492.2,150.0,CRUISE
91.0,V1,10524.5,5933.6,150.0,CRUISE
91.0,V2,10773.9,5500.3,150.0,CRUISE
91.0,V3,11013.8,1457.8,200.0,CRUISE
91.0,V4,3897.9,17449.1,150.0,CRUISE
92.0,V1,10499.5,5977.0,150.0,CRUISE
92.0,V2,10749.0,5543.7,150.0,CRUISE
92.0,V3,11061.8,1471.9,200.0,CRUISE
92.0,V4,3923.3,17406.1,150.0,CRUISE
93.0,V1,10474.6,6020.3,150.0,CRUISE
93.0,V2,10724.0,5587.0,150.0,CRUISE
93.0,V3,11109.8,1486.0,200.0,CRUISE
93.0,V4,3948.7,17363.0,150.0,CRUISE
94.0,V1,10449.6,6063.6,150.0,CRUISE
94.0,V2,10699.1,5630.3,150.0,CRUISE
94.0,V3,11157.7,1500.1,200.0,CRUISE
94.0,V4,3974.1,17319.9,150.0,CRUISE
95.0,V1,10424.7,6107.0,150.0,CRUISE
95.0,V2,10674.2,5673.7,150.0,CRUISE
95.0,V3,11205.7,1514.2,200.0,CRUISE
95.0,V4,3999.5,17276.9,150.0,CRUISE
96.0,V1,10399.7,6150.3,150.0,CRUISE
96.0,V2,10649.2,5717.0,150.0,CRUISE
96.0,V3,11253.7,1528.4,200.0,CRUISE
96.0,V4,4024.9,17233.8,150.0,CRUISE
97.0,V1,10374.8,6193.6,150.0,CRUISE
97.0,V2,10624.3,5760.3,150.0,CRUISE
97.0,V3,11301.7,1542.5,200.0,CRUISE
97.0,V4,4050.2,17190.7,150.0,CRUISE
98.0,V1,10349.8,6237.0,150.0,CRUISE
98.0,V2,10599.3,5803.6,150.0,CRUISE
98.0,V3,11349.6,1556.6,200.0,CRUISE
98.0,V4,4075.6,17147.6,150.0,CRUISE
99.0,V1,10324.9,6280.3,150.0,CRUISE
99.0,V2,10574.4,5847.0,150.0,CRUISE
99.0,V3,11397.6,1570.7,200.0,CRUISE
99.0,V4,4101.0,17104.6,150.0,CRUISE
100.0,V1,10300.0,6323.6,150.0,CRUISE
100.0,V2,10549.4,5890.3,150.0,CRUISE
100.0,V3,11445.6,1584.8,200.0,CRUISE
100.0,V4,4126.4,17061.5,150.0,CRUISE
101.0,V1,10275.0,6367.0,150.0,CRUISE
101.0,V2,10524.5,5933.6,150.0,CRUISE
101.0,V3,11493.5,1598.9,200.0,CRUISE
101.0,V4,4151.8,17018.4,150.0,CRUISE
102.0,V1,10250.1,6410.3,150.0,CRUISE
102.0,V2,10499.5,5977.0,150.0,CRUISE
102.0,V3,11541.5,1613.0,200.0,CRUISE
102.0,V4,4177.2,16975.3,150.0,CRUISE
103.0,V1,10225.1,6453.6,150.0,CRUISE
103.0,V2,10474.6,6020.3,150.0,CRUISE
103.0,V3,11589.5,1627.1,200.0,CRUISE
103.0,V4,4202.6,16932.3,150.0,CRUISE
104.0,V1,10200.2,6497.0,150.0,CRUISE
104.0,V2,10449.6,6063.6,150.0,CRUISE
104.0,V3,11637.4,1641.2,200.0,CRUISE
104.0,V4,4228.0,16889.2,150.0,CRUISE
105.0,V1,10175.2,6540.3,150.0,CRUISE
105.0,V2,10424.7,6107.0,150.0,CRUISE
105.0,V3,11685.4,1655.3,200.0,CRUISE
105.0,V4,4253.4,16846.1,150.0,CRUISE
106.0,V1,10150.3,6583.6,150.0,CRUISE
106.0,V2,10399.7,6150.3,150.0,CRUISE
106.0,V3,11733.4,1669.4,200.0,CRUISE
106.0,V4,4278.7,16803.0,150.0,CRUISE
107.0,V1,10125.3,6627.0,150.0,CRUISE
107.0,V2,10374.8,6193.6,150.0,CRUISE
107.0,V3,11781.3,1683.5,200.0,CRUISE
107.0,V4,4304.1,16760.0,150.0,CRUISE
108.0,V1,10100.4,6670.3,150.0,CRUISE
108.0,V2,10349.8,6237.0,150.0,CRUISE
108.0,V3,11829.3,1697.6,200.0,CRUISE
108.0,V4,4329.5,16716.9,150.0,CRUISE
109.0,V1,10075.4,6713.6,150.0,CRUISE
109.0,V2,10324.9,6280.3,150.0,CRUISE
109.0,V3,11877.3,1711.7,200.0,CRUISE
109.0,V4,4354.9,16673.8,150.0,CRUISE
110.0,V1,10050.5,6757.0,150.0,CRUISE
110.0,V2,10300.0,6323.6,150.0,CRUISE
110.0,V3,11925.2,1725.9,200.0,CRUISE
110.0,V4,4380.3,16630.7,150.0,CRUISE
111.0,V1,10025.5,6800.3,150.0,CRUISE
111.0,V2,10275.0,6367.0,150.0,CRUISE
111.0,V3,11973.2,1740.0,200.0,CRUISE
111.0,V4,4405.7,16587.7,150.0,CRUISE
112.0,V1,10000.6,6843.6,150.0,CRUISE
112.0,V2,10250.1,6410.3,150.0,CRUISE
112.0,V3,12021.2,1754.1,200.0,CRUISE
112.0,V4,4431.1,16544.6,150.0,CRUISE
113.0,V1,9975.7,6887.0,150.0,CRUISE
113.0,V2,10225.1,6453.6,150.0,CRUISE
113.0,V3,12069.1,1768.2,200.0,CRUISE
113.0,V4,4456.5,16501.5,150.0,CRUISE
114.0,V1,9950.7,6930.3,150.0,CRUISE
114.0,V2,10200.2,6497.0,150.0,CRUISE
114.0,V3,12117.1,1782.3,200.0,CRUISE
114.0,V4,4481.9,16458.5,150.0,CRUISE
115.0,V1,9925.8,6973.6,150.0,CRUISE
