vid,reward,delta_actual,interval_steps,done,transmitted,r_err,r_power,cbr,i_redundant,error,term_err,term_pow,term_cong,term_red,bucket
F18_12.2,-0.19785653643846862,5.299999999999997,53,False,True,0.019493613695634786,0.43606864795325617,0.00448,1.0,2.9007608229521793,0.009746806847817393,0.08721372959065124,0.000896,0.1,"[2.0, 10.0)"
F19_18.0,-0.2608609173289047,0.20000000000000284,2,False,True,1.1997299053554546e-08,0.7998245566512758,0.00448,1.0,0.0044873936612930265,5.998649526777273e-09,0.15996491133025517,0.000896,0.1,"[0.1, 0.5)"
F19_4.1,-0.2756626695068648,2.0999999999999943,21,False,True,0.01264660259592263,0.8377368410445172,0.00896,1.0,1.067786409639666,0.006323301297961315,0.16754736820890345,0.001792,0.1,"[2.0, 10.0)"
F19_18.2,-0.1293330885592014,0.29999999999999716,3,False,True,0.0017139554373831795,0.13342055420254903,0.00896,1.0,1.0027648106897686,0.0008569777186915897,0.026684110840509808,0.001792,0.1,"[0.1, 0.5)"
F18_12.2,-0.109376013676881,0.29999999999999716,3,False,True,4.098655264435093e-05,0.04229760200279414,0.00448,1.0,0.22578690011869185,2.0493276322175467e-05,0.008459520400558827,0.000896,0.1,"[0.1, 0.5)"
F18_8.0,-0.21492451696940681,0.3999999999999986,4,False,True,0.004714739499994845,0.5583557360970469,0.00448,1.0,1.4630153677289854,0.0023573697499974225,0.11167114721940939,0.000896,0.1,"[0.1, 0.5)"
F18_10.0,-0.28302527681261513,8.799999999999997,88,False,True,0.08212530750006708,0.705333115312908,0.00448,1.0,1.3126823807560868,0.04106265375003354,0.1410666230625816,0.000896,0.1,"[2.0, 10.0)"
F18_10.0,-0.13110086752216762,0.7000000000000028,7,False,True,4.654987401450017e-07,0.15102317386398775,0.00448,1.0,0.016155294817508548,2.3274937007250084e-07,0.030204634772797553,0.000896,0.1,"[0.5, 2.0)"
F18_10.0,-0.17307744658925833,0.29999999999999716,3,False,True,2.4864085326149284e-07,0.3609066113441584,0.00448,1.0,0.013894790926315181,1.2432042663074642e-07,0.07218132226883169,0.000896,0.1,"[0.1, 0.5)"
F19_18.0,-0.12926204568209068,2.5,25,False,True,0.00889635302325572,0.11510934585231411,0.00896,1.0,2.147913616850019,0.00444817651162786,0.023021869170462825,0.001792,0.1,"[2.0, 10.0)"
