[run_scenario] Resume: 4331 runs already in /home/imnyj/papers/paper3/paper/experiment/data/A_full.csv; will skip those.
  [4415/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP-Greedy seed=46 | CHR=0.438 AoI=0.034 | run=127.2s tot=10466s eta=4122m
  [4416/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP-Greedy seed=47 | CHR=0.438 AoI=0.034 | run=126.6s tot=10592s eta=4121m
  [4417/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP-Greedy seed=48 | CHR=0.438 AoI=0.034 | run=131.6s tot=10724s eta=4121m
  [4418/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP-Greedy seed=49 | CHR=0.439 AoI=0.034 | run=124.9s tot=10849s eta=4119m
  [4419/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP-Greedy seed=50 | CHR=0.438 AoI=0.034 | run=128.5s tot=10977s eta=4119m
  [4420/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP-Greedy seed=51 | CHR=0.438 AoI=0.034 | run=125.4s tot=11103s eta=4117m
  [4421/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2023b    seed=42 | CHR=0.292 AoI=0.198 | run=140.7s tot=11243s eta=4120m
  [4422/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2023b    seed=43 | CHR=0.291 AoI=0.198 | run=140.4s tot=11384s eta=4124m
  [4423/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2023b    seed=44 | CHR=0.291 AoI=0.198 | run=144.7s tot=11528s eta=4129m
[HEARTBEAT] 2026-05-18 15:30:14 | 경과=3h 12m 08s | 진행=4423/6400 (69.1%) | 평균=125.3s/run | ETA=68h 48m | 최근완료: algo=Nam2023b d=4 eps=10 g=3.0 tau=5 seed=44
  [4424/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2023b    seed=45 | CHR=0.291 AoI=0.198 | run=143.2s tot=11672s eta=4133m
  [4425/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2023b    seed=46 | CHR=0.291 AoI=0.198 | run=140.4s tot=11812s eta=4136m
  [4426/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2023b    seed=47 | CHR=0.292 AoI=0.197 | run=139.9s tot=11952s eta=4139m
  [4427/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2023b    seed=48 | CHR=0.291 AoI=0.198 | run=143.9s tot=12096s eta=4143m
  [4428/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2023b    seed=49 | CHR=0.291 AoI=0.198 | run=138.3s tot=12234s eta=4145m
  [4429/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2023b    seed=50 | CHR=0.291 AoI=0.198 | run=141.0s tot=12375s eta=4148m
  [4430/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2023b    seed=51 | CHR=0.291 AoI=0.198 | run=137.6s tot=12513s eta=4150m
  [4431/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2025     seed=42 | CHR=0.438 AoI=0.034 | run=130.7s tot=12643s eta=4149m
  [4432/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2025     seed=43 | CHR=0.438 AoI=0.034 | run=129.3s tot=12773s eta=4148m
  [4433/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2025     seed=44 | CHR=0.438 AoI=0.034 | run=132.8s tot=12906s eta=4148m
  [4434/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2025     seed=45 | CHR=0.438 AoI=0.034 | run=133.2s tot=13039s eta=4148m
  [4435/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2025     seed=46 | CHR=0.438 AoI=0.034 | run=130.3s tot=13169s eta=4147m
  [4436/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2025     seed=47 | CHR=0.438 AoI=0.034 | run=129.6s tot=13299s eta=4146m
  [4437/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2025     seed=48 | CHR=0.438 AoI=0.034 | run=134.3s tot=13433s eta=4146m
  [4438/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2025     seed=49 | CHR=0.439 AoI=0.034 | run=128.0s tot=13561s eta=4144m
  [4439/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2025     seed=50 | CHR=0.438 AoI=0.034 | run=131.5s tot=13693s eta=4144m
  [4440/6400] d=4 eps=10 g=3.0 tau=5 algo=Nam2025     seed=51 | CHR=0.438 AoI=0.034 | run=127.5s tot=13820s eta=4142m
  [4441/6400] d=4 eps=10 g=3.0 tau=5 algo=Youn2026    seed=42 | CHR=0.438 AoI=0.034 | run=134.9s tot=13955s eta=4142m
  [4442/6400] d=4 eps=10 g=3.0 tau=5 algo=Youn2026    seed=43 | CHR=0.438 AoI=0.034 | run=134.5s tot=14089s eta=4142m
  [4443/6400] d=4 eps=10 g=3.0 tau=5 algo=Youn2026    seed=44 | CHR=0.438 AoI=0.034 | run=138.1s tot=14228s eta=4143m
  [4444/6400] d=4 eps=10 g=3.0 tau=5 algo=Youn2026    seed=45 | CHR=0.438 AoI=0.034 | run=137.9s tot=14365s eta=4144m
  [4445/6400] d=4 eps=10 g=3.0 tau=5 algo=Youn2026    seed=46 | CHR=0.438 AoI=0.034 | run=135.3s tot=14501s eta=4145m
  [4446/6400] d=4 eps=10 g=3.0 tau=5 algo=Youn2026    seed=47 | CHR=0.438 AoI=0.034 | run=135.1s tot=14636s eta=4145m
  [4447/6400] d=4 eps=10 g=3.0 tau=5 algo=Youn2026    seed=48 | CHR=0.438 AoI=0.034 | run=138.3s tot=14774s eta=4146m
  [4448/6400] d=4 eps=10 g=3.0 tau=5 algo=Youn2026    seed=49 | CHR=0.439 AoI=0.034 | run=132.3s tot=14906s eta=4145m
  [4449/6400] d=4 eps=10 g=3.0 tau=5 algo=Youn2026    seed=50 | CHR=0.438 AoI=0.034 | run=135.3s tot=15042s eta=4145m
  [4450/6400] d=4 eps=10 g=3.0 tau=5 algo=Youn2026    seed=51 | CHR=0.438 AoI=0.034 | run=132.7s tot=15174s eta=4144m
[HEARTBEAT] 2026-05-18 16:31:00 | 경과=4h 12m 54s | 진행=4450/6400 (69.5%) | 평균=127.5s/run | ETA=69h 04m | 최근완료: algo=Youn2026 d=4 eps=10 g=3.0 tau=5 seed=51
  [4451/6400] d=4 eps=10 g=3.0 tau=5 algo=V2I-Base    seed=42 | CHR=0.438 AoI=0.034 | run=126.2s tot=15301s eta=4142m
  [4452/6400] d=4 eps=10 g=3.0 tau=5 algo=V2I-Base    seed=43 | CHR=0.438 AoI=0.034 | run=125.3s tot=15426s eta=4139m
  [4453/6400] d=4 eps=10 g=3.0 tau=5 algo=V2I-Base    seed=44 | CHR=0.438 AoI=0.034 | run=127.8s tot=15554s eta=4137m
  [4454/6400] d=4 eps=10 g=3.0 tau=5 algo=V2I-Base    seed=45 | CHR=0.438 AoI=0.034 | run=127.3s tot=15681s eta=4135m
