scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,PCO
A,V2I-Base,1,10,1.0,5,46,0.165039
A,V2I-Base,1,10,1.0,5,47,0.165095
A,V2I-Base,1,10,1.0,5,48,0.165056
A,V2I-Base,1,10,1.0,5,49,0.166423
A,V2I-Base,1,10,1.0,5,50,0.16428
A,V2I-Base,1,10,1.0,5,51,0.16625
A,V2V-Base,1,10,1.0,5,42,4.46919
A,V2V-Base,1,10,1.0,5,43,4.478344
A,V2V-Base,1,10,1.0,5,44,4.537028
A,V2V-Base,1,10,1.0,5,45,4.531731
A,V2V-Base,1,10,1.0,5,46,4.481946
A,V2V-Base,1,10,1.0,5,47,4.497949
A,V2V-Base,1,10,1.0,5,48,4.475269
A,V2V-Base,1,10,1.0,5,49,4.545542
A,V2V-Base,1,10,1.0,5,50,4.514461
A,V2V-Base,1,10,1.0,5,51,4.518742
A,Random-K,1,10,1.0,5,42,5.775245
A,Random-K,1,10,1.0,5,43,5.785862
A,Random-K,1,10,1.0,5,44,5.845845
A,Random-K,1,10,1.0,5,45,5.833465
A,Random-K,1,10,1.0,5,46,5.776723
A,Random-K,1,10,1.0,5,47,5.800686
A,Random-K,1,10,1.0,5,48,5.769121
A,Random-K,1,10,1.0,5,49,5.858712
A,Random-K,1,10,1.0,5,50,5.804284
A,Random-K,1,10,1.0,5,51,5.811778
A,RILP,1,10,2.0,5,42,0.165353
A,RILP,1,10,2.0,5,43,0.164757
A,RILP,1,10,2.0,5,44,0.165843
A,RILP,1,10,2.0,5,45,0.164977
A,RILP,1,10,2.0,5,46,0.165039
A,RILP,1,10,2.0,5,47,0.177963
A,RILP,1,10,2.0,5,48,0.17477
A,RILP,1,10,2.0,5,49,0.17801
A,RILP,1,10,2.0,5,50,0.175509
A,RILP,1,10,2.0,5,51,0.179382
A,RILP-Greedy,1,10,2.0,5,42,0.175499
A,RILP-Greedy,1,10,2.0,5,43,0.177918
A,RILP-Greedy,1,10,2.0,5,44,0.176346
A,RILP-Greedy,1,10,2.0,5,45,0.175347
A,RILP-Greedy,1,10,2.0,5,46,0.177733
A,RILP-Greedy,1,10,2.0,5,47,0.177963
A,RILP-Greedy,1,10,2.0,5,48,0.17477
A,RILP-Greedy,1,10,2.0,5,49,0.17801
A,RILP-Greedy,1,10,2.0,5,50,0.175509
A,RILP-Greedy,1,10,2.0,5,51,0.179382
A,Nam2023b,1,10,2.0,5,42,6.548875
A,Nam2023b,1,10,2.0,5,43,6.657918
A,Nam2023b,1,10,2.0,5,44,6.639622
A,Nam2023b,1,10,2.0,5,45,6.621673
A,Nam2023b,1,10,2.0,5,46,6.651665
A,Nam2023b,1,10,2.0,5,47,6.691924
A,Nam2023b,1,10,2.0,5,48,6.540565
A,Nam2023b,1,10,2.0,5,49,6.673054
A,Nam2023b,1,10,2.0,5,50,6.599122
A,Nam2023b,1,10,2.0,5,51,6.685175
A,Nam2025,1,10,2.0,5,42,0.175499
A,Nam2025,1,10,2.0,5,43,0.177918
A,Nam2025,1,10,2.0,5,44,0.176346
A,Nam2025,1,10,2.0,5,45,0.175347
A,Nam2025,1,10,2.0,5,46,0.177733
A,Nam2025,1,10,2.0,5,47,0.177963
A,Nam2025,1,10,2.0,5,48,0.17477
A,Nam2025,1,10,2.0,5,49,0.17801
A,Nam2025,1,10,2.0,5,50,0.175509
A,Nam2025,1,10,2.0,5,51,0.179382
A,Youn2026,1,10,2.0,5,42,0.175499
A,Youn2026,1,10,2.0,5,43,0.177918
A,Youn2026,1,10,2.0,5,44,0.176346
A,Youn2026,1,10,2.0,5,45,0.175347
A,Youn2026,1,10,2.0,5,46,0.177733
A,Youn2026,1,10,2.0,5,47,0.177963
A,Youn2026,1,10,2.0,5,48,0.17477
A,Youn2026,1,10,2.0,5,49,0.17801
A,Youn2026,1,10,2.0,5,50,0.175509
A,Youn2026,1,10,2.0,5,51,0.179382
A,V2I-Base,1,10,2.0,5,42,0.175499
A,V2I-Base,1,10,2.0,5,43,0.177918
A,V2I-Base,1,10,2.0,5,44,0.176346
A,V2I-Base,1,10,2.0,5,45,0.175347
A,V2I-Base,1,10,2.0,5,46,0.177733
A,V2I-Base,1,10,2.0,5,47,0.177963
A,V2I-Base,1,10,2.0,5,48,0.17477
A,V2I-Base,1,10,2.0,5,49,0.17801
A,V2I-Base,1,10,2.0,5,50,0.175509
A,V2I-Base,1,10,2.0,5,51,0.179382
A,V2V-Base,1,10,2.0,5,42,4.54905
