scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,RLBI
A,Youn2026,1,10,2.0,5,49,0.989452
A,Youn2026,1,10,2.0,5,50,0.989454
A,Youn2026,1,10,2.0,5,51,0.989489
A,V2I-Base,1,10,2.0,5,42,0.989295
A,V2I-Base,1,10,2.0,5,43,0.989422
A,V2I-Base,1,10,2.0,5,44,0.989355
A,V2I-Base,1,10,2.0,5,45,0.989429
A,V2I-Base,1,10,2.0,5,46,0.989433
A,V2I-Base,1,10,2.0,5,47,0.989439
A,V2I-Base,1,10,2.0,5,48,0.98941
A,V2I-Base,1,10,2.0,5,49,0.989452
A,V2I-Base,1,10,2.0,5,50,0.989454
A,V2I-Base,1,10,2.0,5,51,0.989489
A,V2V-Base,1,10,2.0,5,42,0.989295
A,V2V-Base,1,10,2.0,5,43,0.989422
