Model,density_bin,delay,traffic,cache_hit
ResNet,"(22.5, 25.0]",0.2841114982578397,42.58304297328687,0.8836939281354543
ST-MBAN,"(5.0, 7.5]",0.24038126361655776,37.58605664488017,0.900354005412249
ST-MBAN,"(7.5, 10.0]",0.22543367346938778,37.99234693877551,0.902790336819659
ST-MBAN,"(10.0, 12.5]",0.254953095684803,38.67542213883677,0.8967103185185701
ST-MBAN,"(12.5, 15.0]",0.24252886836027715,40.02540415704388,0.8961215862586
ST-MBAN,"(15.0, 17.5]",0.23908675799086757,38.00684931506849,0.9000086871867968
ST-MBAN,"(17.5, 20.0]",0.2297718631178707,38.91254752851711,0.9008837089361322
ST-MBAN,"(20.0, 22.5]",0.24514705882352944,39.06985294117647,0.8942674520405122
ST-MBAN,"(22.5, 25.0]",0.2348664343786295,37.872241579558654,0.8993630681025729
TabPFN,"(5.0, 7.5]",0.41947712418300653,63.06535947712418,0.8667426567183134
TabPFN,"(7.5, 10.0]",0.3749744897959184,59.66326530612245,0.8826980119821389
TabPFN,"(10.0, 12.5]",0.4221575984990619,65.60975609756098,0.8679709629975222
TabPFN,"(12.5, 15.0]",0.378568129330254,63.12933025404157,0.8702048637471403
TabPFN,"(15.0, 17.5]",0.43883561643835617,63.363013698630134,0.8610558790409822
TabPFN,"(17.5, 20.0]",0.3716856780735108,62.57541191381495,0.8765920942702672
TabPFN,"(20.0, 22.5]",0.32080882352941176,57.6764705882353,0.8869249482858259
TabPFN,"(22.5, 25.0]",0.374541231126597,60.60859465737514,0.8717445302356199
TabR,"(5.0, 7.5]",0.6950326797385621,66.02614379084967,0.7635220540539966
TabR,"(7.5, 10.0]",0.5991071428571428,60.892857142857146,0.7834440701088959
TabR,"(10.0, 12.5]",0.6567166979362102,61.89868667917448,0.7639336466852529
TabR,"(12.5, 15.0]",0.6431062355658199,63.789838337182445,0.7662435197682806
TabR,"(15.0, 17.5]",0.6935958904109589,63.881278538812786,0.7584799901875839
TabR,"(17.5, 20.0]",0.6206844106463879,62.60076045627376,0.7707123714005614
TabR,"(20.0, 22.5]",0.6161764705882353,62.97794117647059,0.770491623987171
TabR,"(22.5, 25.0]",0.6470034843205575,64.45296167247386,0.7682802188108556
XGB,"(5.0, 7.5]",0.7082352941176471,70.97821350762527,0.7848745644439212
XGB,"(7.5, 10.0]",0.5890051020408164,61.683673469387756,0.8072090272688499
XGB,"(10.0, 12.5]",0.6976923076923077,67.01688555347091,0.7780138477162316
XGB,"(12.5, 15.0]",0.639364896073903,61.63972286374134,0.7907559886750308
XGB,"(15.0, 17.5]",0.707351598173516,66.83561643835617,0.7792690878448769
XGB,"(17.5, 20.0]",0.6044106463878327,63.97465145754119,0.7996193999810933
XGB,"(20.0, 22.5]",0.6046323529411765,61.0514705882353,0.7912256560150432
XGB,"(22.5, 25.0]",0.6409639953542393,63.99535423925668,0.7868980938221761
