Model,Round,delay,traffic,cache_hit
ST-MBAN,2,0.24573000000000003,37.406,0.8958836277545049
ST-MBAN,3,0.23942000000000002,36.934,0.9031593194494415
ST-MBAN,4,0.25629,38.766,0.8942537047115399
ST-MBAN,5,0.23347,38.634,0.8968561748674005
ST-MBAN,6,0.25615000000000004,37.022,0.897341322558308
ST-MBAN,7,0.22233,37.144,0.9021879581777383
ST-MBAN,8,0.24425,37.63,0.8948507657438505
ST-MBAN,9,0.24305000000000002,40.308,0.8982459041843177
ST-MBAN,10,0.22961,38.416,0.8993836351568314
ST-MBAN,11,0.25440999999999997,36.902,0.8985934552332574
ST-MBAN,12,0.22265000000000001,41.266,0.9037570381938711
ST-MBAN,13,0.23044,35.804,0.9025324714988063
ST-MBAN,14,0.23317000000000002,37.44,0.9002362824537374
ST-MBAN,15,0.25947000000000003,38.59,0.8948055180276563
ST-MBAN,16,0.24087999999999998,40.112,0.9006806110629408
ST-MBAN,17,0.24725,36.698,0.8984420078820026
ST-MBAN,18,0.24766,38.104,0.8946009323069206
ST-MBAN,19,0.24773,36.19,0.8982267905961155
ST-MBAN,20,0.22667,34.918,0.9032280991353848
ST-MBAN,21,0.24391,36.974,0.8959378965491959
ST-MBAN,22,0.24394,36.296,0.8982802766470654
ST-MBAN,23,0.24961000000000003,38.842,0.9022026718405928
ST-MBAN,24,0.24472,35.736,0.8981383497293942
ST-MBAN,25,0.25806,39.722,0.8950044602532667
ST-MBAN,26,0.21615,38.21,0.9034279564468656
ST-MBAN,27,0.20773000000000003,37.504,0.9087578134598114
ST-MBAN,28,0.26990000000000003,40.866,0.894752734817757
ST-MBAN,29,0.25747000000000003,37.286,0.8953169021275752
ST-MBAN,30,0.25121,38.314,0.8940571901550459
ST-MBAN,31,0.24887381275440978,37.335142469470824,0.893932481580702
TabPFN,0,0.41207,60.064,0.866797856901014
TabPFN,1,0.38630000000000003,54.934,0.8728676452179407
TabPFN,2,0.39152,59.436,0.8678403672355124
TabPFN,3,0.41925999999999997,59.54,0.8690133433998942
TabPFN,4,0.37522000000000005,56.822,0.872632212257536
TabPFN,5,0.3773,61.714,0.8736988836715177
TabPFN,6,0.43407,56.812,0.8672638283546329
TabPFN,7,0.39525,62.164,0.8737563191274549
TabPFN,8,0.40243,61.278,0.8688312781792291
TabPFN,9,0.38896000000000003,62.666,0.8746262369041206
TabPFN,10,0.39154,60.662,0.8713711735876929
TabPFN,11,0.42053,59.968,0.8716632019321671
TabPFN,12,0.38854,65.226,0.8704298273370322
TabPFN,13,0.35068,54.464,0.879196858313806
TabPFN,14,0.39464,58.47,0.8731890699488883
TabPFN,15,0.42696000000000006,62.416,0.8620069987217879
TabPFN,16,0.4305,64.748,0.8679967174832629
TabPFN,17,0.40934000000000004,60.932,0.8714516846984395
TabPFN,18,0.44551999999999997,63.918,0.862484939368145
TabPFN,19,0.41125,62.916,0.8691021969744217
TabPFN,20,0.37749,62.04,0.8723860166418103
TabPFN,21,0.42507,63.046,0.8617373891747119
TabPFN,22,0.39532,63.686,0.871187488554161
TabPFN,23,0.47816000000000003,62.404,0.8611985790318322
TabPFN,24,0.37393,57.908,0.8727581297587427
